hour,oaid,os,item_names,brand,sw,sh,req_id,key,,request_uri
20,,,剧情,Xiaomi,,,ZKlbsxaTsglrjx40,a32de99c7a4d119ade7ff534621d0326,1,/mango.htm
22,,,其他,apple,2360,1640,ZKlw4DSmkAk0z3W7,a32e0cda6340ed83d992953d26b84df402fec142,1,/mango.htm
15,,,"都市,爱情",Xiaomi,,,ZKkUDfSimAljHOA8,a332139a25b79be947388f2f5859e07a,1,/mango.htm
21,,Android_10,"剧情,都市",HONOR,1080,2208,ZKlelm-joAlEdgS6,a3335c33-b73f-483a-bd8d-e5569211d855,1,/mango.htm
13,,,"剧情,都市",skyworthbox,,,ZKj2iCBTwAl5h0V6,a333abe26e60fb3ed0bfcf16c54ac992,1,/mango.htm
12,,9,"校园,青春,偶像,爱情",Skyworth,,,ZKjh9RaTsglrAHp4,a33509d9f417a74ecc29176461b16558,1,/mango.htm
16,a337906d6d1b3a35744cd48b76afa19108766034b2182825668f3c9c1de7e6b0,Android_11,"都市,爱情,芒果出品",vivo,2342,1080,ZKkhrWYpeglGBhz3,a337906d6d1b3a35744cd48b76afa19108766034b2182825668f3c9c1de7e6b0,1,/mango.htm
19,A33838CFAF244D57BAA8D198A56FEBAF095c901b61f2ea5d2fc7ea9316e6c57e,Android_11,其他,OPPO,2285,1080,ZKlJDXK6qlOVcA17,A33838CFAF244D57BAA8D198A56FEBAF095c901b61f2ea5d2fc7ea9316e6c57e,1,/mango.htm
19,,10,其他,HUAWEI,,,ZKlD1jDlHwlbo7Q0,a339b47f59a74134e6dd9208d08ed502,1,/mango.htm
19,,,"都市,爱情,芒果出品",Hisense,,,ZKlE_zSmkAk0lzb5,a33df7529ba74fcccb36571220874afa,1,/mango.htm
19,,,"战争,剧情",alps,,,ZKlHaOhm0wlk_LT6,a33e6e93090a4254f69cec26fd7ab2d6,1,/mango.htm
13,,,"爱情,都市,家庭",apple,2532,1170,ZKj6jGyFqQZEZXv4,A33FAAA8-7C04-4BBD-8FC3-8377086ADED8,1,/mango.htm
22,A342A2F32CBD4FB08F81A11006C6AB1F4df9eb6ed27ed03d3e313385215428ba,,其他,OPPO,1520,720,ZKluuyEqaQk_uC91,A342A2F32CBD4FB08F81A11006C6AB1F4df9eb6ed27ed03d3e313385215428ba,1,/mango.htm
3,a3447dd99a07526d7c0b97e305bc483baaf39f3d7d4334d593152c5b5b9bae84,Android_13,其他,vivo,2800,1968,ZKhpoJLUijjmMmp7,a3447dd99a07526d7c0b97e305bc483baaf39f3d7d4334d593152c5b5b9bae84,1,/mango.htm
12,A347CFF63BB54B95AA38440D9EA38EBB4ed779bee1f5f2356a4c3e87c579d0cb,Android_12,"爱情,悬疑,犯罪",OPPO,1080,2158,ZKjg5xaTsglr_yL0,A347CFF63BB54B95AA38440D9EA38EBB4ed779bee1f5f2356a4c3e87c579d0cb,1,/mango.htm
8,A347D0FF65974B6EB6BDF82016127CD78247fac99f1cf4384edf9466a3c7a10f,,"校园,青春,奇幻,喜剧,爱情",OPPO,720,1520,ZKip4BaTsglr0AS6,A347D0FF65974B6EB6BDF82016127CD78247fac99f1cf4384edf9466a3c7a10f,1,/mango.htm
22,a3487253841768a75549c48938034694b65d0b5bd29f9d6bc5cc7375257683a1,Android_13,年代,vivo,1080,2283,ZKl3O7VOSgkDUNV6,a3487253841768a75549c48938034694b65d0b5bd29f9d6bc5cc7375257683a1,1,/mango.htm
23,A34B8B5E28324CA0AC361DAA44FFB60Bef4e28c0e2663d15d59945f52db5dd97,Android_12,"爱情,都市,家庭",OPPO,2293,1032,ZKl6AzqsAglloOO2,A34B8B5E28324CA0AC361DAA44FFB60Bef4e28c0e2663d15d59945f52db5dd97,1,/mango.htm
17,a34e4c40dc3dc869ed1d03f23f53c7e113f6cd6ff46add17adcbf246136d36f9,Android_13,"都市,爱情,芒果出品",samsung,2133,1080,ZKku7GYpeglGFRG8,a34e4c40dc3dc869ed1d03f23f53c7e113f6cd6ff46add17adcbf246136d36f9,1,/mango.htm
12,,,"芒果出品,青春,偶像,爱情,古装,网剧",SHARP,,,ZKjscXrrPwlmQOu9,a350a5d915b5748046abf507f036bbbf,1,/mango.htm
20,A35107579006491F8EDC7136C82EB6B54b138bf75280a21828306f73c75f6b83,Android_13,其他,OPPO,1080,2173,ZKlSPuMP4QkCeMX7,A35107579006491F8EDC7136C82EB6B54b138bf75280a21828306f73c75f6b83,1,/mango.htm
19,,,"都市,剧情",TCL,,,ZKlGRBaTsglrcsE3,a3515a2bacb0be89931430eb6796d18a,1,/mango.htm
21,,Android_9,其他,HONOR,1080,2160,ZKlreW-z1Akxa2N8,a351d7d7-a5ef-541f-beaf-ffff5eff0ac2,1,/mango.htm
15,,,"爱情,都市,家庭",apple,1125,2436,ZKkPaGYpeglG8Uz0,A3536278-6E2C-4E1A-A049-635E9D10405C,1,/mango.htm
17,,,"爱情,都市",Hisense,,,ZKkxJnfy5QlJYt22,a353ea0b9f4689b6bf87b1ff7b45c04d,1,/mango.htm
22,,9,"亲子,明星,真人秀,教育,芒果出品",TCL,,,ZKlwJmYpeglGZhr2,a3553ab25f90721b84c863a7177614cb,1,/mango.htm
11,,,"纪实,生活,真人秀",apple,2388,1668,ZKjUEjqsAgll4BO2,a35667d4621eaef18489c3b1b5a8c022d4301868,1,/mango.htm
8,a35887ee2509c48b5a1903458070f3e31956b12d46578e858ad3dfe3f22ab61f,Android_10,"古装,爱情,芒果出品",vivo,1080,2192,ZKiwoKNL4glrL-63,a35887ee2509c48b5a1903458070f3e31956b12d46578e858ad3dfe3f22ab61f,1,/mango.htm
17,,9,"青春,校园",Xiaomi,,,ZKknxTSmkAk0dXK8,a35bb2cb082371e678642ed721e1ed5c,1,/mango.htm
18,,Android_10,"真人秀,明星,竞技",HUAWEI,1600,2006,ZKkzwG-z1AkxJDt3,a35c0670-0b19-478a-8b6f-0358cefbc7db,1,/mango.htm
18,,,其他,MediaTek,,,ZKk1y-NnYwlnnGj9,a35d79efbba12dc2b86c4505738e64ed,1,/mango.htm
22,,10,"益智,真人秀,搞笑,芒果出品",HUAWEI,,,ZKl41JL5zDM8xdh4,a36012558bbee0f1bfeadcdf5785637d,1,/mango.htm
18,,,"仙侠,古装,爱情",apple,1284,2778,ZKk3MloTBmi2Bla0,a3631df65d27ed44c7c117e27cdca1cb8754ecb9,1,/mango.htm
13,a364516a0831bd4fbe17aba0605ed759b84e461bdf9f53604c1b736b0bb5e3d3,Android_12,"文化,脱口秀,搞笑",samsung,1080,2309,ZKj4XHxF2QlUUGU4,a364516a0831bd4fbe17aba0605ed759b84e461bdf9f53604c1b736b0bb5e3d3,1,/mango.htm
17,,,"都市,爱情,芒果出品",apple,1242,2208,ZKklqxaTsglrTNF1,a3673ac1f9f5ec1f22b75799bdd205b960868c16,1,/mango.htm
21,,9,"都市,爱情,芒果出品",Epson,,,ZKlmfIn4rAlpwUC4,a3685466ce75389389c34b3a3bf23771,1,/mango.htm
12,,,"爱情,言情,都市,芒果出品",apple,1125,2436,ZKjqpvSimAlj7el4,a3685586a6355d32fabad1e2dad2453200da7e00,1,/mango.htm
20,,Android_10,"爱情,都市,家庭",HONOR,720,1552,ZKlZ-on4rAlpsLu3,a36a4b7d-8d15-461a-b779-e3cc6c3c72d1,1,/mango.htm
22,,,"警匪,爱情,悬疑,芒果出品",apple,2048,1536,ZKl33ZL5zDM8xOX0,a36b2e4abbe06fb6fd17acc0db826889cf861bfb,1,/mango.htm
5,,,"爱情,言情,都市,芒果出品",apple,1179,2556,ZKiFDhaTsglrwFU3,a36f9f83b1e232ba2276e071150c2a6a1e43a4cf,1,/mango.htm
14,,,"爱情,都市,家庭",apple,828,1792,ZKkCMSEqaQk_NcT9,a37198ac6e68b8601cb310179ea574395781bca3,1,/mango.htm
19,,,"古装,武侠,剧情,芒果出品",TCL,,,ZKlIlm-z1AkxPV33,a371b4bea7da8dd03040a75f1f000957,1,/mango.htm
19,,10,"真人秀,芒果出品",Skyworth,,,ZKlNlPSimAljX-I2,a3729c5bcee8d61ad754526725076ea4,1,/mango.htm
9,A37595AB4A274A5F91D204B2A0E4FF28feee07d6629c6cd4155f8e11df128f3c,Android_11,"纪实,生活,真人秀",realme,720,1448,ZKi1Lm-z1AkxnuV0,A37595AB4A274A5F91D204B2A0E4FF28feee07d6629c6cd4155f8e11df128f3c,1,/mango.htm
20,A3767517CB774D23958B8315E4CE4993e4b790279210508ac913b40bd2676289,Android_13,"都市,芒果出品,剧情",OPPO,1080,2161,ZKlZMWYpeglGSWB8,A3767517CB774D23958B8315E4CE4993e4b790279210508ac913b40bd2676289,1,/mango.htm
13,,,"剧情,喜剧,芒果出品",Xiaomi,,,ZKjuhRIkWQlpeT85,a376bade89a52a014afd54089d48e423,1,/mango.htm
10,A3779C4388B04403B843DE77D97264B8acf92f2dd57346538a18da9edb429608,Android_12,"真人秀,芒果出品",realme,2141,1080,ZKjIxfSimAljyyE3,A3779C4388B04403B843DE77D97264B8acf92f2dd57346538a18da9edb429608,1,/mango.htm
15,A378F812F9294A5D876BF616FD764338f01ffd2725d22f199927bd770b4f6bf4,android,"都市,职场",OPPO,1080,2219,ZKkOcHrrPwlmZ9m9,A378F812F9294A5D876BF616FD764338f01ffd2725d22f199927bd770b4f6bf4,1,/mango.htm
20,,,"战争,剧情",apple,2048,1536,ZKlP0m-joAlEYeS3,A37942D0-148A-4545-B045-1B7C016E2499,1,/mango.htm
17,,,"芒果出品,悬疑,犯罪",haier,,,ZKkruIs1jAlsloN7,a37c0130be322453f2e462f0083049bf,1,/mango.htm
14,,,其他,Skyworth,,,ZKkB2qOXmAlPnGD3,a38362de022389ddc8841601e8912b9b,1,/mango.htm
14,,,"都市,爱情,剧情",apple,2796,1290,ZKkIS4mdFjQBq3z6,a383d41f7f83ba915f99d8e02cb6f732b50ca605,1,/mango.htm
10,a388b5f22bd6ca7accb7f0170c9bb9a4850baca1c60a4c369a9c806f97f7df75,Android_11,"剧情,爱情,芒果出品",vivo,1331,1080,ZKjH2CEqaQk_95k8,a388b5f22bd6ca7accb7f0170c9bb9a4850baca1c60a4c369a9c806f97f7df75,1,/mango.htm
7,,,"偶像,都市,爱情,青春",apple,1170,2532,ZKikQgx3jGQURsG0,a38ac8e8780e1bbda3128a105aa0624250aae8cd,1,/mango.htm
19,,,"音乐,芒果出品",apple,1125,2436,ZKlJdZ_HQmDqPBf4,a38b537fa7ad3f6e1572557dafbc094849c5d843,1,/mango.htm
22,a38d06153e0ececd,Android_10,"真人秀,益智,芒果出品",Xiaomi,2029,1080,ZKlr7cKDAlt6FK69,a38d06153e0ececd,1,/mango.htm
17,A394667804B94B6BB6F4C8F334803D92a2cf48d58241b028719cf5c7782fb9d5,Android_11,"真人秀,美食",OPPO,2285,1032,ZKkxNPSimAljPel5,A394667804B94B6BB6F4C8F334803D92a2cf48d58241b028719cf5c7782fb9d5,1,/mango.htm
10,,Android_10,"都市,剧情",HUAWEI,1080,2098,ZKjEHHK6qlOV3Ha1,a39e973b-12df-4c23-82e8-2ed7bb28a082,1,/mango.htm
9,,,"都市,家庭,芒果出品",MStar,,,ZKi2wSBTwAl5SIP1,a3a0ec676018ba894ccdd2df828cd322,1,/mango.htm
7,,,"都市,爱情,剧情",Hisense,,,ZKiacONnYwlnBZK9,a3a200d7dee1f9600a276b4ac4ca06fd,1,/mango.htm
14,,9,"悬疑,犯罪,芒果出品",XiaoAiTongXue,,,ZKkCfzSmkAk0SwB8,a3a3f27a8dc4382a9f1c4476e77e4323,1,/mango.htm
18,,,"芒果出品,网剧,都市,爱情",Skyworth,,,ZKk7DzSmkAk0i4y0,a3a6896aedf1b9156a26edd02bbab80d,1,/mango.htm
19,,9,"真人秀,芒果出品",Xiaomi,,,ZKlFV4n4rAlplWT7,a3a7930758b9d6ed90518db03c85bc86,1,/mango.htm
0,a3b8c591f689b41f,Android_10,其他,Redmi,720,1449,ZKg4Lm-joAlEge67,a3b8c591f689b41f,1,/mango.htm
20,,9,"芒果出品,古装,爱情,玄幻,网剧",Droidlogic,,,ZKlXFJL5zDM8nWH0,a3b91e9450f51bd5cd1c132299e76d56,1,/mango.htm
16,,,"芒果出品,都市,剧情",apple,2778,1284,ZKkhoDDlHwlbfL01,a3bea38694bb7474feb0d3284d89fb11ee9b54c4,1,/mango.htm
12,,Android_11,"剧情,悬疑,爱情",Hinova,1236,2562,ZKjlpONnYwlnQjS0,a3c1d0ce-65be-4544-92b7-e11d10bd304c,1,/mango.htm
15,,,"明星,真人秀,竞演",MBX,,,ZKkM2zNAXglqEYP0,a3c217cc0d42bba3c0d3899996c02ef6,2,/mango.htm
18,,,其他,MBX,,,ZKk3oONnYwlnnrs5,a3c217cc0d42bba3c0d3899996c02ef6,2,/mango.htm
11,,10,"真人秀,芒果出品",Coocaa,,,ZKjYCW-z1AkxvZY7,a3c5d05fa60bb623c785cd0c75fce1c5,1,/mango.htm
16,a3c7d0ff489b0038,Android_12,其他,Redmi,1080,2262,ZKkXiloTBmi24kM9,a3c7d0ff489b0038,1,/mango.htm
1,,,"剧情,家庭",apple,2048,1536,ZKhJSRJ-KAkqfok7,A3C8638F-97D1-4783-942A-A95669E88604,1,/mango.htm
12,,,其他,Android,,,ZKjikWYpeglGvs34,a3d428820a6c24d604e73e62fedea0e9,1,/mango.htm
5,,,"战争,剧情",apple,2388,1668,ZKiEGAx3jGQUOcs9,a3d52274747cfe17b993b2c3bb19f4ef69299950,1,/mango.htm
19,,,"青春,都市,爱情",alps,,,ZKlDcm-joAlEUh10,a3d76719a3cc44e3f68c77dff2b11d15,1,/mango.htm
7,A3D99557B4DD4ECF8EFCA78B4ED236CAa813b99bbcb567fd067a5e2d61befae8,Android_10,"都市,剧情,爱情",OPPO,2132,1080,ZKiabG-joAlEq2x4,A3D99557B4DD4ECF8EFCA78B4ED236CAa813b99bbcb567fd067a5e2d61befae8,1,/mango.htm
10,A3D9E36D200F4F39B53E8AF3A0F6BD430b9e5c9e9fdb4cbd6b3f9b7671b15afe,Android_12,"剧情,爱情,芒果出品",OPPO,1448,720,ZKjQjZL5zDM8An12,A3D9E36D200F4F39B53E8AF3A0F6BD430b9e5c9e9fdb4cbd6b3f9b7671b15afe,1,/mango.htm
13,,,"都市,爱情,芒果出品",Konka,,,ZKjxdjqsAgll_-w7,a3d9f2b2a7e2092164c02224d1a079de,1,/mango.htm
12,A3DDDBECC5DC4F228F27B5A3120825A4f4515f438b14154d7be75b3d4858d5a7,Android_10,"都市,剧情",OPPO,2208,1080,ZKjnHloTBmi2q-j4,A3DDDBECC5DC4F228F27B5A3120825A4f4515f438b14154d7be75b3d4858d5a7,1,/mango.htm
9,,,"纪实,生活,真人秀",apple,2388,1668,ZKi-floTBmi2hAd7,a3defc36362e09525c3f4e501196ecabdadcb2f4,1,/mango.htm
