"date","hour","interval_start","count"
"2023-07-17",18,40.0,69692
"2023-07-17",18,50.0,115649
"2023-07-17",19,0.0,67427
"2023-07-17",19,10.0,55266
"2023-07-17",19,20.0,50276
"2023-07-17",19,30.0,49492
"2023-07-17",19,40.0,55927
"2023-07-17",19,50.0,54758
"2023-07-17",20,0.0,56410
"2023-07-17",20,10.0,48783
"2023-07-17",20,20.0,47392
"2023-07-17",20,30.0,42812
"2023-07-17",20,40.0,47426
"2023-07-17",20,50.0,46415
"2023-07-17",21,0.0,44744
"2023-07-17",21,10.0,43871
"2023-07-17",21,20.0,43823
"2023-07-17",21,30.0,53479
"2023-07-17",21,40.0,61076
"2023-07-17",21,50.0,60299
"2023-07-17",22,0.0,29830
"2023-07-17",22,10.0,34010
"2023-07-17",22,20.0,46185
"2023-07-17",22,30.0,32800
"2023-07-17",22,40.0,25873
"2023-07-17",22,50.0,31455
"2023-07-17",23,0.0,28635
"2023-07-17",23,10.0,31356
"2023-07-17",23,20.0,39311
"2023-07-17",23,30.0,41842
"2023-07-17",23,40.0,6590
"2023-07-17",23,50.0,6789
"2023-07-18",0,0.0,49095
"2023-07-18",0,10.0,38196
"2023-07-18",0,20.0,32568
"2023-07-18",0,30.0,30055
"2023-07-18",0,40.0,29404
"2023-07-18",0,50.0,25147
"2023-07-18",1,0.0,27929
"2023-07-18",1,10.0,28531
"2023-07-18",1,20.0,16096
"2023-07-18",1,30.0,13519
"2023-07-18",1,40.0,13342
"2023-07-18",1,50.0,12879
"2023-07-18",2,0.0,22116
"2023-07-18",2,10.0,18870
"2023-07-18",2,20.0,11281
"2023-07-18",2,30.0,10694
"2023-07-18",2,40.0,10147
"2023-07-18",2,50.0,9827
"2023-07-18",3,0.0,18705
"2023-07-18",3,10.0,12307
"2023-07-18",3,20.0,9132
"2023-07-18",3,30.0,8676
"2023-07-18",3,40.0,8557
"2023-07-18",3,50.0,8303
"2023-07-18",4,0.0,17829
"2023-07-18",4,10.0,9158
"2023-07-18",4,20.0,8101
"2023-07-18",4,30.0,7867
"2023-07-18",4,40.0,7971
"2023-07-18",4,50.0,7759
"2023-07-18",5,0.0,17401
"2023-07-18",5,10.0,10782
"2023-07-18",5,20.0,8409
"2023-07-18",5,30.0,8879
"2023-07-18",5,40.0,8736
"2023-07-18",5,50.0,9379
"2023-07-18",6,0.0,21199
"2023-07-18",6,10.0,20894
"2023-07-18",6,20.0,11823
"2023-07-18",6,30.0,12117
"2023-07-18",6,40.0,13038
"2023-07-18",6,50.0,14364
"2023-07-18",7,0.0,29201
"2023-07-18",7,10.0,25927
"2023-07-18",7,20.0,30319
"2023-07-18",7,30.0,20699
"2023-07-18",7,40.0,22178
"2023-07-18",7,50.0,23111
"2023-07-18",8,0.0,37690
"2023-07-18",8,10.0,32440
"2023-07-18",8,20.0,34008
"2023-07-18",8,30.0,37322
"2023-07-18",8,40.0,27380
"2023-07-18",8,50.0,29846
"2023-07-18",9,0.0,49763
"2023-07-18",9,10.0,41219
"2023-07-18",9,20.0,40006
"2023-07-18",9,30.0,51839
"2023-07-18",9,40.0,41047
"2023-07-18",9,50.0,36738
"2023-07-18",10,0.0,51140
"2023-07-18",10,10.0,45274
"2023-07-18",10,20.0,47703
"2023-07-18",10,30.0,46502
"2023-07-18",10,40.0,42684
"2023-07-18",10,50.0,42304
"2023-07-18",11,0.0,50340
"2023-07-18",11,10.0,44161
"2023-07-18",11,20.0,45995
"2023-07-18",11,30.0,47275
"2023-07-18",11,40.0,50533
"2023-07-18",11,50.0,45938
"2023-07-18",12,0.0,59409
"2023-07-18",12,10.0,54372
"2023-07-18",12,20.0,55666
"2023-07-18",12,30.0,59247
"2023-07-18",12,40.0,79139
"2023-07-18",12,50.0,87152
"2023-07-18",13,0.0,90488
"2023-07-18",13,10.0,81769
"2023-07-18",13,20.0,77619
"2023-07-18",13,30.0,65366
"2023-07-18",13,40.0,58871
"2023-07-18",13,50.0,57489
"2023-07-18",14,0.0,84934
"2023-07-18",14,10.0,72391
"2023-07-18",14,20.0,65794
"2023-07-18",14,30.0,52661
"2023-07-18",14,40.0,51134
"2023-07-18",14,50.0,53459
"2023-07-18",15,0.0,78691
"2023-07-18",15,10.0,64709
"2023-07-18",15,20.0,40887
"2023-07-18",15,30.0,38619
"2023-07-18",15,40.0,40625
"2023-07-18",15,50.0,40947
"2023-07-18",16,0.0,52430
"2023-07-18",16,10.0,40923
"2023-07-18",16,20.0,42957
"2023-07-18",16,30.0,45698
"2023-07-18",16,40.0,53979
"2023-07-18",16,50.0,44281
"2023-07-18",17,0.0,57879
"2023-07-18",17,10.0,63684
"2023-07-18",17,20.0,65821
"2023-07-18",17,30.0,69598
"2023-07-18",17,40.0,88425
"2023-07-18",17,50.0,94732
