hour,oaid,os,item_names,brand,sw,sh,,
1,,,"战争,剧情",Xiaomi,,,,
1,,Android_10,"真人秀,益智,芒果出品",HONOR,1491,720,,
1,,9,"真人秀,明星,竞技",Toshiba,,,,
1,,,"爱情,都市,家庭",Xiaomi,,,,
3,,Windows,"仙侠,古装,爱情",,,,,
5,,,"爱情,都市,家庭",HiSTBAndroidV5,,,,
6,8c6ebc0d91dd27829fa04d57fdc40777665980e582bba1219879a5ca8e24eb09,Android_13,"都市,爱情,剧情",vivo,2319,1080,,
7,,,"剧情,家庭",TCL,,,,
7,0AE51FEB7A1A42AF857338C941C703786cc4a09e58ae5f8a0d77a3655de1556a,Android_12,"剧情,喜剧,爱情,家庭",realme,2290,1032,,
8,B596243ACC9A44F6A957726639CCCAC431cadcf13f23b73f238622371c7dfb96,Android_13,"剧情,爱情,芒果出品",realme,1080,2148,,
9,,Android_11,"战争,剧情",HONOR,2238,1080,,
9,,Android_10,"芒果出品,校园,网剧,青春,偶像,爱情",HONOR,1080,2292,,
9,,Android_10,"爱情,偶像",HONOR,2340,1080,,
0,,,"悬疑,犯罪,芒果出品",apple,2778,1284,,
0,,Android_10,"剧情,都市",HUAWEI,1080,2265,,
5,,,"青春,校园",alps,,,,
6,,,"剧情,喜剧,芒果出品",apple,2208,1242,,
7,,Android_10,"爱情,都市,家庭",HONOR,720,1472,,
7,,9,"真人秀,芒果出品",xiaomi,,,,
7,a7c8be95225543e9,Android_10,"悬疑,芒果出品",Redmi,1080,2261,,
8,,,"悬疑,芒果出品",Coocaa,,,,
8,,Android_12,"芒果出品,古装,爱情,玄幻,网剧",HUAWEI,1228,2463,,
9,DFA393E35A024C1ABACA8F5009DEB18A57ed42b4146bf9dcb960458cb46ee252,Android_12,"芒果出品,悬疑,犯罪",OPPO,1080,2153,,
9,,,"音乐,芒果出品",Xiaomi,,,,
9,,,"益智,芒果出品",apple,828,1792,,
0,,,"战争,剧情",apple,2208,1242,,
1,,,"战争,剧情",apple,2048,1536,,
1,,,"纪实,生活,真人秀",apple,1125,2436,,
1,,Windows,"芒果出品,都市,爱情,剧情",,,,,
3,,,"真人秀,益智,芒果出品",rockchip,,,,
5,23F7033D6AF043E0A720A93845F1B4B25a196ad2a6618b517a63256dacdc115f,Android_12,"爱情,剧情,喜剧,都市,家庭",OPPO,1080,2245,,
5,,,"古装,武侠,剧情,芒果出品",apple,1170,2532,,
6,,Android_10,"战争,剧情",HUAWEI,1080,2139,,
8,,9,年代,TCL,,,,
9,,9,"青春,都市,爱情",changhong,,,,
9,,,其他,vivo,1080,2141,,
9,,,其他,apple,2532,1170,,
0,,,其他,apple,2436,1125,,
0,,,"剧情,爱情,都市,芒果出品",apple,2160,1620,,
