hour,oaid,os,item_names,brand,sw,sh,req_id,key
11,,Android_10,"益智,真人秀,搞笑,芒果出品",HUAWEI,1200,2499,ZKjUgXrrPwlmJ172,1cd51d31-143e-4836-bd4d-00800c1a6673
16,654B6F9537834F75BB0ECC1E16B15BFE5c61662b3f50b4dcc28bc67628e305d5,Android_10,"都市,剧情",OPPO,1080,2200,ZKkix3bTGAl4s910,654B6F9537834F75BB0ECC1E16B15BFE5c61662b3f50b4dcc28bc67628e305d5
15,,,其他,apple,2688,1242,ZKkSY_CkHQlZGYg0,caca9125633d9573431f427eb9d6bbb72a37c324
12,,,"爱情,剧情,喜剧,都市,家庭",apple,,,ZKjpIJL5zDM8HNv0,1D260B23-5152-44F7-8608-EFF363003EDF
12,,Android_10,其他,HUAWEI,1080,2292,ZKjk8WyFqQZEThN3,7bfe8215-4ef6-4448-9b1f-881e81606a1e
14,B9287065A9FC4BFEB149C764C2310FA150c56d58e58096ab2132146c8192be01,Android_12,"剧情,都市",OPPO,2282,1080,ZKkG9KOXmAlPohy2,B9287065A9FC4BFEB149C764C2310FA150c56d58e58096ab2132146c8192be01
12,9afe741e8b32399e3482e9736f155cfe8c266a421eb42844ad73f14714ea511d,Android_9,"爱情,都市,职场,芒果出品",vivo,2075,1080,ZKjjh9dNnglBCtu4,9afe741e8b32399e3482e9736f155cfe8c266a421eb42844ad73f14714ea511d
12,bd52ab6cb88aec5f78da6165ee28698640a9c52d85c306ed8c62e876aa7b6f0b,Android_11,"剧情,爱情,芒果出品",samsung,1080,2277,ZKjjgmyFqQZETGd7,bd52ab6cb88aec5f78da6165ee28698640a9c52d85c306ed8c62e876aa7b6f0b
11,90449c87275f1007,Android_9,"剧情,喜剧,爱情,家庭",xiaomi,1897,1100,ZKjamqNL4glrVC61,90449c87275f1007
11,C01B45E5B58D4876B6B59128F8725CF75634992112a1bd94c51996d756cbf538,,"真人秀,音乐",OPPO,720,1456,ZKjcQzDlHwlbLpx3,C01B45E5B58D4876B6B59128F8725CF75634992112a1bd94c51996d756cbf538
12,,Android_12,"爱情,都市",HUAWEI,2289,1080,ZKjpNufIIAk9y9B5,012229c0-c886-40fb-865f-59e2e42fa5e0
12,,,"芒果出品,爱情,古装",apple,1242,2688,ZKjiwRJ-KAkq10y5,e39554caee6193f6450e775ef1f1b7978db6aec8
15,03950B15D6EE4D27BAF7817C03D40AEF94c43fe53dd59756435d6e8801b815ea,Android_11,"爱情,都市,家庭",OPPO,1080,2290,ZKkWX7VOSgkD3Hq9,03950B15D6EE4D27BAF7817C03D40AEF94c43fe53dd59756435d6e8801b815ea
13,,Windows,"爱情,言情,都市,芒果出品",,,,ZKjt03rrPwlmQjv5,RTcwRUYzMzJCMTIyMzM1NDdBREEzNkI4NTQ4Mjc2RjM=
15,ed7ceb214e1f4e08c1fb8e993e440e03bf7c6bed01f7df1d85cc73bb3261d105,Android_10,其他,vivo,2278,1080,ZKkNiIn4rAlpVV67,ed7ceb214e1f4e08c1fb8e993e440e03bf7c6bed01f7df1d85cc73bb3261d105
10,,Android_12,"真人秀,益智,芒果出品",HONOR,2178,1080,ZKjM0pKH5Ag28qo1,7d0d8015-a7ea-49b9-a215-fbb876da15e2
10,,Android_12,"真人秀,益智,芒果出品",HONOR,2178,1080,ZKjM0pKH5Ag28qo1,7d0d8015-a7ea-49b9-a215-fbb876da15e2
10,,Mac,其他,,1024,1366,ZKjITmXs8nR_Az38,Q0JFQzRGMTZFOTczNUJCRjQ5MDRCNUZCOUFBMDM5RjI=
15,,Android_12,"剧情,喜剧,芒果出品",HUAWEI,1080,2214,ZKkObW-joAlEFdb8,2f20f85c-9a96-4276-b5dc-e19528ba7738
11,,Android_10,"明星,真人秀,竞演",HUAWEI,1945,1080,ZKjceNdNnglBAwK0,df6fc7fe-fffe-c1d4-79fc-7ff7e5ffe476
11,,Android_10,"芒果出品,都市,爱情,剧情",HUAWEI,1080,2224,ZKjROzqsAgll3Rj8,e7bfddf9-ff6e-87d5-ffbe-d7f55febb30e
11,,Android_12,"悬疑,芒果出品",HUAWEI,1601,2006,ZKjamQx3jGQUcl92,67fc5aef-5e07-4c31-9d1b-4d8d44704631
12,,,"音乐,竞技",apple,1170,2532,ZKjizWYpeglGvxi7,ee40bf3c98951dbad2a82cb5d84266cbb945826f
13,,Android_12,"剧情,喜剧,爱情,家庭",HUAWEI,1152,2268,ZKj1FYs1jAlsWCI7,867bd81d-ef32-427b-bda5-2f81e15493aa
14,,,其他,apple,2388,1668,ZKkD7DqsAgllFNU0,9a6b477f1212abf62bee6796673a0369e5d3afce
16,DEF50E808066D21B89E8E23DA60DCB2018D517FDE9BDF0A9453B4EE633AC62D5,Android_11,"都市,爱情,芒果出品",OnePlus,1080,2249,ZKkiE4s1jAlsi3O2,DEF50E808066D21B89E8E23DA60DCB2018D517FDE9BDF0A9453B4EE633AC62D5
